Tamaño del establecimiento;Motivos por los que no exiten puestos de trabajo vacantes;Periodo;Total
Total;Total;2024T4;100
Total;Total;2024T3;100
Total;Total;2024T2;100
Total;Total;2024T1;100
Total;Total;2023T4;100
Total;Total;2023T3;100
Total;Total;2023T2;100
Total;Total;2023T1;100
Total;Total;2022T4;100
Total;Total;2022T3;100
Total;Total;2022T2;100
Total;Total;2022T1;100
Total;Total;2021T4;100
Total;Total;2021T3;100
Total;Total;2021T2;100
Total;Total;2021T1;100
Total;Total;2020T4;100
Total;Total;2020T3;100
Total;Total;2020T2;100
Total;Total;2020T1;100
Total;Total;2019T4;100
Total;Total;2019T3;100
Total;Total;2019T2;100
Total;Total;2019T1;100
Total;Total;2018T4;100
Total;Total;2018T3;100
Total;Total;2018T2;100
Total;Total;2018T1;100
Total;Total;2017T4;100
Total;Total;2017T3;100
Total;Total;2017T2;100
Total;Total;2017T1;100
Total;Total;2016T4;100
Total;Total;2016T3;100
Total;Total;2016T2;100
Total;Total;2016T1;100
Total;Total;2015T4;100
Total;Total;2015T3;100
Total;Total;2015T2;100
Total;Total;2015T1;100
Total;Total;2014T4;100
Total;Total;2014T3;100
Total;Total;2014T2;100
Total;Total;2014T1;100
Total;Total;2013T4;100
Total;Total;2013T3;100
Total;No se necesita ningún trabajador;2024T4;92
Total;No se necesita ningún trabajador;2024T3;92
Total;No se necesita ningún trabajador;2024T2;92,6
Total;No se necesita ningún trabajador;2024T1;91,7
Total;No se necesita ningún trabajador;2023T4;93
Total;No se necesita ningún trabajador;2023T3;93
Total;No se necesita ningún trabajador;2023T2;93,5
Total;No se necesita ningún trabajador;2023T1;93,5
Total;No se necesita ningún trabajador;2022T4;94,2
Total;No se necesita ningún trabajador;2022T3;94,5
Total;No se necesita ningún trabajador;2022T2;94,1
Total;No se necesita ningún trabajador;2022T1;94,4
Total;No se necesita ningún trabajador;2021T4;94,8
Total;No se necesita ningún trabajador;2021T3;95,2
Total;No se necesita ningún trabajador;2021T2;94,6
Total;No se necesita ningún trabajador;2021T1;94,8
Total;No se necesita ningún trabajador;2020T4;95,7
Total;No se necesita ningún trabajador;2020T3;94,4
Total;No se necesita ningún trabajador;2020T2;94,5
Total;No se necesita ningún trabajador;2020T1;94
Total;No se necesita ningún trabajador;2019T4;92,9
Total;No se necesita ningún trabajador;2019T3;93,1
Total;No se necesita ningún trabajador;2019T2;93,1
Total;No se necesita ningún trabajador;2019T1;93,8
Total;No se necesita ningún trabajador;2018T4;93,2
Total;No se necesita ningún trabajador;2018T3;93,7
Total;No se necesita ningún trabajador;2018T2;94,2
Total;No se necesita ningún trabajador;2018T1;93,6
Total;No se necesita ningún trabajador;2017T4;93,3
Total;No se necesita ningún trabajador;2017T3;93,9
Total;No se necesita ningún trabajador;2017T2;93,5
Total;No se necesita ningún trabajador;2017T1;93,4
Total;No se necesita ningún trabajador;2016T4;93,9
Total;No se necesita ningún trabajador;2016T3;93,6
Total;No se necesita ningún trabajador;2016T2;93,8
Total;No se necesita ningún trabajador;2016T1;93,7
Total;No se necesita ningún trabajador;2015T4;92,9
Total;No se necesita ningún trabajador;2015T3;93,6
Total;No se necesita ningún trabajador;2015T2;92,7
Total;No se necesita ningún trabajador;2015T1;93
Total;No se necesita ningún trabajador;2014T4;92,8
Total;No se necesita ningún trabajador;2014T3;93,2
Total;No se necesita ningún trabajador;2014T2;92,9
Total;No se necesita ningún trabajador;2014T1;92,7
Total;No se necesita ningún trabajador;2013T4;93,4
Total;No se necesita ningún trabajador;2013T3;93,8
Total;Elevado coste de contratación;2024T4;4,8
Total;Elevado coste de contratación;2024T3;4,7
Total;Elevado coste de contratación;2024T2;4,1
Total;Elevado coste de contratación;2024T1;4,5
Total;Elevado coste de contratación;2023T4;3,9
Total;Elevado coste de contratación;2023T3;3,9
Total;Elevado coste de contratación;2023T2;3,9
Total;Elevado coste de contratación;2023T1;3,9
Total;Elevado coste de contratación;2022T4;3,6
Total;Elevado coste de contratación;2022T3;3,1
Total;Elevado coste de contratación;2022T2;3,2
Total;Elevado coste de contratación;2022T1;3,2
Total;Elevado coste de contratación;2021T4;2,9
Total;Elevado coste de contratación;2021T3;2,8
Total;Elevado coste de contratación;2021T2;2,9
Total;Elevado coste de contratación;2021T1;2,9
Total;Elevado coste de contratación;2020T4;2,6
Total;Elevado coste de contratación;2020T3;3
Total;Elevado coste de contratación;2020T2;3
Total;Elevado coste de contratación;2020T1;3,4
Total;Elevado coste de contratación;2019T4;4,8
Total;Elevado coste de contratación;2019T3;4,7
Total;Elevado coste de contratación;2019T2;4,5
Total;Elevado coste de contratación;2019T1;4,4
Total;Elevado coste de contratación;2018T4;5
Total;Elevado coste de contratación;2018T3;4,3
Total;Elevado coste de contratación;2018T2;3,7
Total;Elevado coste de contratación;2018T1;4,2
Total;Elevado coste de contratación;2017T4;4,4
Total;Elevado coste de contratación;2017T3;4
Total;Elevado coste de contratación;2017T2;4,6
Total;Elevado coste de contratación;2017T1;4,8
Total;Elevado coste de contratación;2016T4;4,4
Total;Elevado coste de contratación;2016T3;4,6
Total;Elevado coste de contratación;2016T2;4,4
Total;Elevado coste de contratación;2016T1;4,3
Total;Elevado coste de contratación;2015T4;5,1
Total;Elevado coste de contratación;2015T3;4,5
Total;Elevado coste de contratación;2015T2;5
Total;Elevado coste de contratación;2015T1;5
Total;Elevado coste de contratación;2014T4;5,1
Total;Elevado coste de contratación;2014T3;5
Total;Elevado coste de contratación;2014T2;4,9
Total;Elevado coste de contratación;2014T1;5,1
Total;Elevado coste de contratación;2013T4;4,4
Total;Elevado coste de contratación;2013T3;4,1
Total;Otros;2024T4;3,2
